Venäläismedia:	O
Navalnyi	B-PERSON
myrkytettiin	O
kuoliaaksi	O
hiljalleen	O
-	O
Putin	B-PERSON
antoi	O
tappoluvan	O
syntymäpäivälahjaksi	O

Neuvosto	B-DATE
ajoilta	I-DATE
jäänyt	O
perinne,	O
aina	O
pitää	O
olla	O
näennäinen	O
laillisuuden	O
tai	O
muu	O
savu	O
ja	O
peili	O
suojaverho,	O
maskirovka.	O

Tää	O
on	O
vahva	O
omakin	O
veikkaus.	O
Plus	O
kun	O
se	O
Puten	B-PERSON
haastanut	O
sodanvastainen	O
ehdokas	O
sai	O
liikaa	O
tukea,	O
ja	O
jopa	O
se	O
nukkevastustajakin	O
näytti	O
olevan	O
suositumpi	O
kuin	O
nykyinen	O
johto,	O
katsoi	O
varmaan	O
parhaaksi	O
siivota	O
taloa.	O
Plus,	O
siinä	O
mistä	O
aikaisemmin	O
olis	O
saattanut	O
tulla	O
kauppasaartorankkua	O
tms.	O
Navalnyin	B-PERSON
tappamisesta,	O
nyt	O
ei	O
ole	O
mitään	O
oikein	O
mitä	O
Ukrainan	B-EVENT
sodan	I-EVENT
takia	O
ei	O
olisi	O
jo	O
rankkusektorilla	O
päällä.	O
Niin	O
menee	O
samalla	O
hinnalla.	O

Kaikki	O
tietää	O
aina	O
pelin	O
hengen	O
ryssien	O
kanssa	O
mutta	O
silti	O
ne	O
jaksaa	O
järjestää	O
vaaleja,	B-EVENT
kansanäänestyksiä	B-EVENT
ja	O
puhua	O
YK:ssa	B-ORG
naama	O
näkkärillä	O
natseista	O
millon	O
missäkin.	O
Se	O
on	O
vaan	O
se	O
ryssän	O
elo	O
sellasta.	O
Pitää	O
puhua	O
paskaa	O
kaiken	O
muun	O
päälle.	O
Vähän	O
kuin	O
harrastuneisuuttaan.	O

Esimerkki	O
tuleville	O
Putinin	B-PERSON
vastustajille.	O
Ei	O
ne	O
sua	O
tapa	O
vaan	O
kiduttaa	O
vuosikausia	O
hengiltä.	O

Koska	O
suurin	O
osa	O
ihmisistä	O
tekee	O
sen,	O
mikä	O
on	O
helpointa	O
tehdä.	O
Kun	O
valtio	B-ORG
järjestää	O
tällaisia	O
teatterinäytöksiä,	O
niin	O
helpointa	O
on	O
leikkiä	O
mukana.	O
Ilman	O
tätä	O
teatteria,	O
olisi	O
kansalaisten	O
vaikeampi	O
rationalisoida	O
nämä	O
asiat	O
pois	O
mielestä.	O

Panttivangit	O
ja	O
poliittiset	O
vangit	O
ovat	O
hyödyllisiä	O
ainoastaan	O
kun	O
ne	O
ovat	O
elossa.	O
Nyt	O
tässä	O
tapauksessa	O
taisi	O
myrkkyannos	O
lipsahtaa	O
liian	O
suureksi,	O
tuomiota	O
oli	O
vielä	O
25v	O
jäljellä.	O
Tai	O
ehkä	O
tämä	O
kertoo	O
siitä	O
että	O
Navalnyitä	B-PERSON
pelätään.	O
Elossa	O
oleva	O
vanki	O
on	O
muistutus	O
muille	O
että	O
kuka	O
tahansa	O
voi	O
olla	O
seuraava	O
ja	O
että	O
hallinto	B-ORG
voi	O
tehdä	O
mitä	O
haluaa.	O
Koko	O
homma	O
on	O
tietysti	O
käsikirjoitettu	O
etukäteen,	O
median	B-ORG
juttu	O
valmis	O
ja	O
kuolinsyy	O
selvillä	O
puolen	B-DATE
tunnin	I-DATE
sisään.	O
Tarinassa	O
vielä	O
sellaisia	O
virheitä	O
että	O
kuulija	O
varmasti	O
huomaa	O
valheeksi,	O
mikä	O
on	O
tarkoituskin.	O

